Species,Id,Measurement,Value
setosa,35,Sepal.Length,4.9
setosa,35,Sepal.Width,3.1
setosa,36,Petal.Length,1.2
setosa,36,Petal.Width,0.2
setosa,36,Sepal.Length,5
setosa,36,Sepal.Width,3.2
setosa,37,Petal.Length,1.3
setosa,37,Petal.Width,0.2
setosa,37,Sepal.Length,5.5
setosa,37,Sepal.Width,3.5
setosa,38,Petal.Length,1.4
setosa,38,Petal.Width,0.1
setosa,38,Sepal.Length,4.9
setosa,38,Sepal.Width,3.6
setosa,39,Petal.Length,1.3
setosa,39,Petal.Width,0.2
setosa,39,Sepal.Length,4.4
setosa,39,Sepal.Width,3
setosa,40,Petal.Length,1.5
setosa,40,Petal.Width,0.2
setosa,40,Sepal.Length,5.1
setosa,40,Sepal.Width,3.4
setosa,41,Petal.Length,1.3
setosa,41,Petal.Width,0.3
setosa,41,Sepal.Length,5
setosa,41,Sepal.Width,3.5
setosa,42,Petal.Length,1.3
setosa,42,Petal.Width,0.3
setosa,42,Sepal.Length,4.5
setosa,42,Sepal.Width,2.3
setosa,43,Petal.Length,1.3
setosa,43,Petal.Width,0.2
setosa,43,Sepal.Length,4.4
setosa,43,Sepal.Width,3.2
setosa,44,Petal.Length,1.6
setosa,44,Petal.Width,0.6
setosa,44,Sepal.Length,5
setosa,44,Sepal.Width,3.5
setosa,45,Petal.Length,1.9
setosa,45,Petal.Width,0.4
setosa,45,Sepal.Length,5.1
setosa,45,Sepal.Width,3.8
setosa,46,Petal.Length,1.4
setosa,46,Petal.Width,0.3
setosa,46,Sepal.Length,4.8
setosa,46,Sepal.Width,3
setosa,47,Petal.Length,1.6
setosa,47,Petal.Width,0.2
setosa,47,Sepal.Length,5.1
setosa,47,Sepal.Width,3.8
setosa,48,Petal.Length,1.4
setosa,48,Petal.Width,0.2
setosa,48,Sepal.Length,4.6
setosa,48,Sepal.Width,3.2
setosa,49,Petal.Length,1.5
setosa,49,Petal.Width,0.2
setosa,49,Sepal.Length,5.3
setosa,49,Sepal.Width,3.7
setosa,50,Petal.Length,1.4
setosa,50,Petal.Width,0.2
setosa,50,Sepal.Length,5
setosa,50,Sepal.Width,3.3
versicolor,51,Petal.Length,4.7
versicolor,51,Petal.Width,1.4
versicolor,51,Sepal.Length,7
versicolor,51,Sepal.Width,3.2
versicolor,52,Petal.Length,4.5
versicolor,52,Petal.Width,1.5
versicolor,52,Sepal.Length,6.4
versicolor,52,Sepal.Width,3.2
versicolor,53,Petal.Length,4.9
versicolor,53,Petal.Width,1.5
versicolor,53,Sepal.Length,6.9
versicolor,53,Sepal.Width,3.1
versicolor,54,Petal.Length,4
versicolor,54,Petal.Width,1.3
versicolor,54,Sepal.Length,5.5
versicolor,54,Sepal.Width,2.3
versicolor,55,Petal.Length,4.6
versicolor,55,Petal.Width,1.5
versicolor,55,Sepal.Length,6.5
versicolor,55,Sepal.Width,2.8
versicolor,56,Petal.Length,4.5
versicolor,56,Petal.Width,1.3
versicolor,56,Sepal.Length,5.7
versicolor,56,Sepal.Width,2.8
versicolor,57,Petal.Length,4.7
versicolor,57,Petal.Width,1.6
versicolor,57,Sepal.Length,6.3
versicolor,57,Sepal.Width,3.3
versicolor,58,Petal.Length,3.3
versicolor,58,Petal.Width,1
versicolor,58,Sepal.Length,4.9
versicolor,58,Sepal.Width,2.4
versicolor,59,Petal.Length,4.6
versicolor,59,Petal.Width,1.3
versicolor,59,Sepal.Length,6.6
versicolor,59,Sepal.Width,2.9
versicolor,60,Petal.Length,3.9
versicolor,60,Petal.Width,1.4
versicolor,60,Sepal.Length,5.2
versicolor,60,Sepal.Width,2.7
versicolor,61,Petal.Length,3.5
versicolor,61,Petal.Width,1
versicolor,61,Sepal.Length,5
versicolor,61,Sepal.Width,2
versicolor,62,Petal.Length,4.2
versicolor,62,Petal.Width,1.5
versicolor,62,Sepal.Length,5.9
versicolor,62,Sepal.Width,3
versicolor,63,Petal.Length,4
versicolor,63,Petal.Width,1
versicolor,63,Sepal.Length,6
versicolor,63,Sepal.Width,2.2
versicolor,64,Petal.Length,4.7
versicolor,64,Petal.Width,1.4
versicolor,64,Sepal.Length,6.1
versicolor,64,Sepal.Width,2.9
versicolor,65,Petal.Length,3.6
versicolor,65,Petal.Width,1.3
versicolor,65,Sepal.Length,5.6
versicolor,65,Sepal.Width,2.9
versicolor,66,Petal.Length,4.4
versicolor,66,Petal.Width,1.4
versicolor,66,Sepal.Length,6.7
versicolor,66,Sepal.Width,3.1
versicolor,67,Petal.Length,4.5
versicolor,67,Petal.Width,1.5
versicolor,67,Sepal.Length,5.6
versicolor,67,Sepal.Width,3
versicolor,68,Petal.Length,4.1
versicolor,68,Petal.Width,1
versicolor,68,Sepal.Length,5.8
versicolor,68,Sepal.Width,2.7
versicolor,69,Petal.Length,4.5
versicolor,69,Petal.Width,1.5
versicolor,69,Sepal.Length,6.2
versicolor,69,Sepal.Width,2.2
versicolor,70,Petal.Length,3.9
versicolor,70,Petal.Width,1.1
versicolor,70,Sepal.Length,5.6
versicolor,70,Sepal.Width,2.5
versicolor,71,Petal.Length,4.8
versicolor,71,Petal.Width,1.8
versicolor,71,Sepal.Length,5.9
versicolor,71,Sepal.Width,3.2
versicolor,72,Petal.Length,4
versicolor,72,Petal.Width,1.3
versicolor,72,Sepal.Length,6.1
versicolor,72,Sepal.Width,2.8
versicolor,73,Petal.Length,4.9
versicolor,73,Petal.Width,1.5
versicolor,73,Sepal.Length,6.3
versicolor,73,Sepal.Width,2.5
versicolor,74,Petal.Length,4.7
versicolor,74,Petal.Width,1.2
versicolor,74,Sepal.Length,6.1
versicolor,74,Sepal.Width,2.8
versicolor,75,Petal.Length,4.3
versicolor,75,Petal.Width,1.3
versicolor,75,Sepal.Length,6.4
versicolor,75,Sepal.Width,2.9
versicolor,76,Petal.Length,4.4
versicolor,76,Petal.Width,1.4
versicolor,76,Sepal.Length,6.6
versicolor,76,Sepal.Width,3
versicolor,77,Petal.Length,4.8
versicolor,77,Petal.Width,1.4
versicolor,77,Sepal.Length,6.8
versicolor,77,Sepal.Width,2.8
versicolor,78,Petal.Length,5
versicolor,78,Petal.Width,1.7
versicolor,78,Sepal.Length,6.7
versicolor,78,Sepal.Width,3
versicolor,79,Petal.Length,4.5
versicolor,79,Petal.Width,1.5
versicolor,79,Sepal.Length,6
versicolor,79,Sepal.Width,2.9
versicolor,80,Petal.Length,3.5
versicolor,80,Petal.Width,1
versicolor,80,Sepal.Length,5.7
versicolor,80,Sepal.Width,2.6
versicolor,81,Petal.Length,3.8
versicolor,81,Petal.Width,1.1
versicolor,81,Sepal.Length,5.5
versicolor,81,Sepal.Width,2.4
versicolor,82,Petal.Length,3.7
versicolor,82,Petal.Width,1
versicolor,82,Sepal.Length,5.5
versicolor,82,Sepal.Width,2.4
versicolor,83,Petal.Length,3.9
versicolor,83,Petal.Width,1.2
versicolor,83,Sepal.Length,5.8
versicolor,83,Sepal.Width,2.7
versicolor,84,Petal.Length,5.1
versicolor,84,Petal.Width,1.6
versicolor,84,Sepal.Length,6
versicolor,84,Sepal.Width,2.7
versicolor,85,Petal.Length,4.5
versicolor,85,Petal.Width,1.5
versicolor,85,Sepal.Length,5.4
versicolor,85,Sepal.Width,3
versicolor,86,Petal.Length,4.5
versicolor,86,Petal.Width,1.6
versicolor,86,Sepal.Length,6
versicolor,86,Sepal.Width,3.4
versicolor,87,Petal.Length,4.7
versicolor,87,Petal.Width,1.5
versicolor,87,Sepal.Length,6.7
versicolor,87,Sepal.Width,3.1
versicolor,88,Petal.Length,4.4
versicolor,88,Petal.Width,1.3
versicolor,88,Sepal.Length,6.3
versicolor,88,Sepal.Width,2.3
versicolor,89,Petal.Length,4.1
versicolor,89,Petal.Width,1.3
versicolor,89,Sepal.Length,5.6
versicolor,89,Sepal.Width,3
versicolor,90,Petal.Length,4
versicolor,90,Petal.Width,1.3
versicolor,90,Sepal.Length,5.5
versicolor,90,Sepal.Width,2.5
versicolor,91,Petal.Length,4.4
versicolor,91,Petal.Width,1.2
versicolor,91,Sepal.Length,5.5
versicolor,91,Sepal.Width,2.6
versicolor,92,Petal.Length,4.6
versicolor,92,Petal.Width,1.4
versicolor,92,Sepal.Length,6.1
versicolor,92,Sepal.Width,3
versicolor,93,Petal.Length,4
versicolor,93,Petal.Width,1.2
versicolor,93,Sepal.Length,5.8
versicolor,93,Sepal.Width,2.6
versicolor,94,Petal.Length,3.3
versicolor,94,Petal.Width,1
versicolor,94,Sepal.Length,5
versicolor,94,Sepal.Width,2.3
versicolor,95,Petal.Length,4.2
versicolor,95,Petal.Width,1.3
versicolor,95,Sepal.Length,5.6
versicolor,95,Sepal.Width,2.7
versicolor,96,Petal.Length,4.2
versicolor,96,Petal.Width,1.2
versicolor,96,Sepal.Length,5.7
versicolor,96,Sepal.Width,3
versicolor,97,Petal.Length,4.2
versicolor,97,Petal.Width,1.3
versicolor,97,Sepal.Length,5.7
versicolor,97,Sepal.Width,2.9
versicolor,98,Petal.Length,4.3
versicolor,98,Petal.Width,1.3
versicolor,98,Sepal.Length,6.2
versicolor,98,Sepal.Width,2.9
versicolor,99,Petal.Length,3
versicolor,99,Petal.Width,1.1
versicolor,99,Sepal.Length,5.1
versicolor,99,Sepal.Width,2.5
versicolor,100,Petal.Length,4.1
versicolor,100,Petal.Width,1.3
versicolor,100,Sepal.Length,5.7
versicolor,100,Sepal.Width,2.8
virginica,101,Petal.Length,6
virginica,101,Petal.Width,2.5
virginica,101,Sepal.Length,6.3
virginica,101,Sepal.Width,3.3
virginica,102,Petal.Length,5.1
virginica,102,Petal.Width,1.9
virginica,102,Sepal.Length,5.8
virginica,102,Sepal.Width,2.7
virginica,103,Petal.Length,5.9
virginica,103,Petal.Width,2.1
virginica,103,Sepal.Length,7.1
virginica,103,Sepal.Width,3
virginica,104,Petal.Length,5.6
virginica,104,Petal.Width,1.8
virginica,104,Sepal.Length,6.3
virginica,104,Sepal.Width,2.9
virginica,105,Petal.Length,5.8
virginica,105,Petal.Width,2.2
virginica,105,Sepal.Length,6.5
virginica,105,Sepal.Width,3
virginica,106,Petal.Length,6.6
virginica,106,Petal.Width,2.1
virginica,106,Sepal.Length,7.6
virginica,106,Sepal.Width,3
virginica,107,Petal.Length,4.5
virginica,107,Petal.Width,1.7
virginica,107,Sepal.Length,4.9
virginica,107,Sepal.Width,2.5
virginica,108,Petal.Length,6.3
virginica,108,Petal.Width,1.8
virginica,108,Sepal.Length,7.3
virginica,108,Sepal.Width,2.9
virginica,109,Petal.Length,5.8
virginica,109,Petal.Width,1.8
virginica,109,Sepal.Length,6.7
virginica,109,Sepal.Width,2.5
virginica,110,Petal.Length,6.1
virginica,110,Petal.Width,2.5
virginica,110,Sepal.Length,7.2
virginica,110,Sepal.Width,3.6
virginica,111,Petal.Length,5.1
virginica,111,Petal.Width,2
virginica,111,Sepal.Length,6.5
virginica,111,Sepal.Width,3.2
virginica,112,Petal.Length,5.3
virginica,112,Petal.Width,1.9
virginica,112,Sepal.Length,6.4
virginica,112,Sepal.Width,2.7
virginica,113,Petal.Length,5.5
virginica,113,Petal.Width,2.1
virginica,113,Sepal.Length,6.8
virginica,113,Sepal.Width,3
virginica,114,Petal.Length,5
virginica,114,Petal.Width,2
virginica,114,Sepal.Length,5.7
virginica,114,Sepal.Width,2.5
virginica,115,Petal.Length,5.1
virginica,115,Petal.Width,2.4
virginica,115,Sepal.Length,5.8
virginica,115,Sepal.Width,2.8
virginica,116,Petal.Length,5.3
virginica,116,Petal.Width,2.3
virginica,116,Sepal.Length,6.4
virginica,116,Sepal.Width,3.2
virginica,117,Petal.Length,5.5
virginica,117,Petal.Width,1.8
virginica,117,Sepal.Length,6.5
virginica,117,Sepal.Width,3
virginica,118,Petal.Length,6.7
virginica,118,Petal.Width,2.2
virginica,118,Sepal.Length,7.7
virginica,118,Sepal.Width,3.8
virginica,119,Petal.Length,6.9
virginica,119,Petal.Width,2.3
virginica,119,Sepal.Length,7.7
virginica,119,Sepal.Width,2.6
virginica,120,Petal.Length,5
virginica,120,Petal.Width,1.5
virginica,120,Sepal.Length,6
virginica,120,Sepal.Width,2.2
virginica,121,Petal.Length,5.7
virginica,121,Petal.Width,2.3
virginica,121,Sepal.Length,6.9
virginica,121,Sepal.Width,3.2
virginica,122,Petal.Length,4.9
virginica,122,Petal.Width,2
virginica,122,Sepal.Length,5.6
virginica,122,Sepal.Width,2.8
virginica,123,Petal.Length,6.7
virginica,123,Petal.Width,2
virginica,123,Sepal.Length,7.7
virginica,123,Sepal.Width,2.8
virginica,124,Petal.Length,4.9
virginica,124,Petal.Width,1.8
virginica,124,Sepal.Length,6.3
virginica,124,Sepal.Width,2.7
virginica,125,Petal.Length,5.7
virginica,125,Petal.Width,2.1
virginica,125,Sepal.Length,6.7
virginica,125,Sepal.Width,3.3
virginica,126,Petal.Length,6
virginica,126,Petal.Width,1.8
virginica,126,Sepal.Length,7.2
virginica,126,Sepal.Width,3.2
virginica,127,Petal.Length,4.8
virginica,127,Petal.Width,1.8
virginica,127,Sepal.Length,6.2
virginica,127,Sepal.Width,2.8
virginica,128,Petal.Length,4.9
virginica,128,Petal.Width,1.8
virginica,128,Sepal.Length,6.1
virginica,128,Sepal.Width,3
virginica,129,Petal.Length,5.6
virginica,129,Petal.Width,2.1
virginica,129,Sepal.Length,6.4
virginica,129,Sepal.Width,2.8
virginica,130,Petal.Length,5.8
virginica,130,Petal.Width,1.6
virginica,130,Sepal.Length,7.2
virginica,130,Sepal.Width,3
virginica,131,Petal.Length,6.1
virginica,131,Petal.Width,1.9
virginica,131,Sepal.Length,7.4
virginica,131,Sepal.Width,2.8
virginica,132,Petal.Length,6.4
virginica,132,Petal.Width,2
virginica,132,Sepal.Length,7.9
virginica,132,Sepal.Width,3.8
virginica,133,Petal.Length,5.6
virginica,133,Petal.Width,2.2
virginica,133,Sepal.Length,6.4
virginica,133,Sepal.Width,2.8
virginica,134,Petal.Length,5.1
virginica,134,Petal.Width,1.5
virginica,134,Sepal.Length,6.3
virginica,134,Sepal.Width,2.8
virginica,135,Petal.Length,5.6
virginica,135,Petal.Width,1.4
virginica,135,Sepal.Length,6.1
virginica,135,Sepal.Width,2.6
virginica,136,Petal.Length,6.1
virginica,136,Petal.Width,2.3
virginica,136,Sepal.Length,7.7
virginica,136,Sepal.Width,3
virginica,137,Petal.Length,5.6
virginica,137,Petal.Width,2.4
virginica,137,Sepal.Length,6.3
virginica,137,Sepal.Width,3.4
virginica,138,Petal.Length,5.5
virginica,138,Petal.Width,1.8
virginica,138,Sepal.Length,6.4
virginica,138,Sepal.Width,3.1
virginica,139,Petal.Length,4.8
virginica,139,Petal.Width,1.8
virginica,139,Sepal.Length,6
virginica,139,Sepal.Width,3
virginica,140,Petal.Length,5.4
virginica,140,Petal.Width,2.1
virginica,140,Sepal.Length,6.9
virginica,140,Sepal.Width,3.1
virginica,141,Petal.Length,5.6
virginica,141,Petal.Width,2.4
virginica,141,Sepal.Length,6.7
virginica,141,Sepal.Width,3.1
virginica,142,Petal.Length,5.1
virginica,142,Petal.Width,2.3
virginica,142,Sepal.Length,6.9
virginica,142,Sepal.Width,3.1
virginica,143,Petal.Length,5.1
virginica,143,Petal.Width,1.9
virginica,143,Sepal.Length,5.8
virginica,143,Sepal.Width,2.7
virginica,144,Petal.Length,5.9
virginica,144,Petal.Width,2.3
virginica,144,Sepal.Length,6.8
virginica,144,Sepal.Width,3.2
virginica,145,Petal.Length,5.7
virginica,145,Petal.Width,2.5
virginica,145,Sepal.Length,6.7
virginica,145,Sepal.Width,3.3
virginica,146,Petal.Length,5.2
virginica,146,Petal.Width,2.3
virginica,146,Sepal.Length,6.7
virginica,146,Sepal.Width,3
virginica,147,Petal.Length,5
virginica,147,Petal.Width,1.9
virginica,147,Sepal.Length,6.3
virginica,147,Sepal.Width,2.5
virginica,148,Petal.Length,5.2
virginica,148,Petal.Width,2
virginica,148,Sepal.Length,6.5
virginica,148,Sepal.Width,3
virginica,149,Petal.Length,5.4
virginica,149,Petal.Width,2.3
virginica,149,Sepal.Length,6.2
virginica,149,Sepal.Width,3.4
virginica,150,Petal.Length,5.1
virginica,150,Petal.Width,1.8
virginica,150,Sepal.Length,5.9
virginica,150,Sepal.Width,3
